Canonical SMILES,Y,CID
C(CCl)Cl,1,11
C(CCl)O,1,34
C(CC(=O)O)C(=O)CN,1,137
C(CO)O,1,174
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,1,237
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C(=O)C2=CNN5CCN(CC5)C)O)C,1,135512673
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,1,299
CC1=CC=CC=C1O,1,335
C1=C(C=C(C=C1O)O)O,1,359
CC(C)[N+](=O)[O-],1,398
CC(C(=O)O)O,1,612
CCO,1,702
C=O,1,712
CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,1,772
C1=CC(=CN=C1)C(=O)N,1,936
C1=CC(=CN=C1)C(=O)O,1,938
C1=CC=C(C=C1)O,1,996
C1=CN=C(C=N1)C(=O)N,1,1046
C1=CC=NC=C1,1,1049
C1=CNC(=O)NC1=O,1,1174
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,1,1493
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,1,1613
CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1,1674
C1=CN=CC=C1N,1,1727
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1,1775
C1=CC2=C(C(=C1)O)N=CC=C2,1,1923
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1,1978
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,1,1981
CC(=O)NC1=CC=C(C=C1)O,1,1983
CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,1,1985
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,1,1986
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,1,1989
CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1,2019
CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,1,2081
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,1,2082
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,1,2092
CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,1,2099
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,1,2118
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CC(=O)O,1,2120
C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,1,2122
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,1,2157
CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,1,2159
CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,1,2161
CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,1,2165
CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3,1,2176
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,1,2179
CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,1,2187
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,1,2197
C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3,1,2200
CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3,1,2218
CCNC1=NC(=NC(=N1)Cl)NC(C)C,1,2256
CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],1,2265
C(CCCC(=O)O)CCCC(=O)O,1,2266
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,1,2313
C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,1,2315
CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,1,2333
C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,1,2343
C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,1,2348
CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,1,2349
CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,1,2351
COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,1,2355
CNCCC1=CC=CC=N1,1,2366
