Canonical SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
C(CC(=O)O)C(=O)CN,0.984826093,0.003458507,0.002888926,0.001564761,0.000993731,0.001795907,0.001903972,0.001642556,0.001803426,0.00076505,0.001524099,0.000834796,0.000986264,0.000552417,0.603410636,0.511302312,6.89E-07,0.822338291,0.019674268,2.51E-11,9.26E-11,5.86E-17,1.09E-06,2.39E-11,0.625703719,0.001516859,0.894197866,0.601497907,0.172648856,0.859203124,0.951257839,0.00190022,0.001551702,0.999998998,0.006894572,0.032168034,0.611902018,0.00131275,0.066315804,0.732989251,0.066315804,0.757431102,0.296002169,0.755398369,0.212411325,0.257851436,0.021227603,0.001053771,0.001515538,0.842343704,0.193672288,9.94E-22,0.142492255,0.062963133,0.034722889,4.83E-15,0.0111776,0.168438018,0.731660206,0.098237397,5.70E-08,0.214297517,0,1.14E-21,2.40E-23,0.03361719,0.398713177,0.468224681,3.61E-15,0.145980119,1.74E-22,0.898279735,0.618010114,9.05E-08,4.61E-10,0.157072376,6.03E-26,0.023724068,0.15342541,0.510571137,0.004928455,0.585438788,0.239080797,0.167096874,0.075581009,0.986924807,0.254142278,0.227211062,0.025836931,5.30E-05,1.43E-16,0.342157627,6.95E-13,0,9.80E-13,0.256739073,0.462901269,2.86E-09,0.215062147,0.030994493,2.99E-06,0.277639012,5.30E-05,0.591841485,5.30E-05,0.5,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.119506321,1,3.32E-10,9.64E-10,7.11E-15,5.84E-13,1.20E-20,0.165079548,0.167040631,0.999999894,0.999999893,0.797135339,0.5,7.11E-15,0.16834648,0.167982932,6.87E-10,0.001181573,0.999887438,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.099912791,2.87E-10,0.377737848,0.004506168,0.133250251,0.034729928,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.999999993,0.966151653,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.402678463
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,0.695375558,0.492371441,0.538322957,0.642169682,0.656803386,0.529833814,0.642108654,0.614123092,0.575610935,0.539992456,0.629875646,0.563725525,0.6098522,0.531493183,4.07E-10,2.18E-08,6.89E-07,0.10021777,0.299062803,0.95288479,0.65430486,0.414654129,0.622103607,0.889494638,0.855272975,0.535594152,0.442692188,0.542883198,0.584215046,0.631203853,0.75897893,0.523328652,0.507764753,0.999998998,0.616479162,0.679252499,0.582623787,0.581108272,0.018855703,0.879814034,0.018855703,0.050635446,0.901808655,0.038462384,0.833792304,0.104450389,0.93951763,0.687431838,0.53538364,0.436076719,0.193672288,9.94E-22,0.142492255,0.062963133,0.635287782,0.865038246,0.617764784,0.307072713,0.47446924,0.207512384,5.70E-08,0.773347691,0,1.14E-21,2.40E-23,0.564695742,0.603027464,0.466400899,3.61E-15,0.145980119,1.74E-22,1.18E-10,0.059983379,0.643477773,4.61E-10,0.157072376,0.484989443,0.965751331,0.503482428,0.817534953,0.396613874,0.181889385,0.903775895,0.167096874,0.412167098,8.79E-24,0.724127792,0.822647876,0.27789856,5.30E-05,0.699547846,0.603355119,0.983837341,0.709806361,0.985489826,0.617474363,1.20E-11,2.86E-09,0.637642395,0.356556979,0.999490234,0.993320483,5.30E-05,0.07687958,5.30E-05,0.99424929,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.388966245,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.796811614,0.165079548,0.167040631,0.166498334,0.166486816,0.202864661,0.069365881,7.11E-15,0.16834648,0.167982932,0.522329168,0.598257153,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.879726585,2.87E-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61E-09,0.986914419,2.09E-07,7.11E-15,0.499264281,0.164929402,0.76084478,2.11E-16,1.17E-09,0.909514638,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.999224706,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.999979121,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.289836432
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.801278264,0.186970236,0.237506275,0.050254525,0.553987467,0.109466996,0.075993876,0.462311509,0.382739627,0.922578068,0.778754495,0.995164552,0.909756034,0.998011692,0.944551857,0.264869665,6.89E-07,0.10021777,0.019674268,2.51E-11,9.26E-11,5.86E-17,1.09E-06,2.39E-11,0.99997292,0.789931355,0.004188413,0.002813013,0.002011723,0.995397868,0.999801337,0.173123908,0.851704791,0.999998998,0.263927805,0.006986354,0.07714091,0.544690736,0.507774491,0.099401469,0.507774491,0.133743634,0.98294364,0.1175729,0.088552159,0.892691534,0.784522529,0.254180284,0.803204318,0.061316334,0.051529913,1,0.142492255,0.986204856,0.034722889,4.83E-15,0.0111776,0.040600274,0.055286669,0.867591456,5.70E-08,0.002152298,0.968413895,1.14E-21,0.988212357,0.222354992,0.008721533,0.965873374,0.998442136,0.145980119,1.74E-22,1.18E-10,0.31225737,9.05E-08,4.61E-10,1,0.449667543,0.023724068,0.080760151,0.027500884,0.975236207,0.182881065,0.999996476,0.167096874,0.075581009,8.79E-24,0.760894577,0.030449467,0.025836931,5.30E-05,1.43E-16,0.03731604,6.95E-13,0,0.999319775,0.703966568,0.245298863,2.86E-09,0.008253923,0.030994493,2.99E-06,0.277639012,5.30E-05,0.018183503,5.30E-05,0.999998399,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.169927845,0.018035222,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,1.20E-20,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11E-15,0.16834648,0.167982932,6.87E-10,0.001181573,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,1,0.167346595,7.14E-07,2.64E-12,0.099912791,2.87E-10,0.377737848,0.004506168,0.133250251,0.034729928,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,0.999693873,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.999999993,0.966151653,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.29468599
C1=CC(=CN=C1)C(=O)N,0.974029307,0.009486786,0.001765717,0.001190764,0.000763374,0.002140393,0.001582531,0.001432215,0.001676348,0.000706745,0.002223953,0.001198413,0.002548791,0.001412014,0.600249375,0.264869665,6.89E-07,0.10021777,0.131845503,2.51E-11,0.647881514,0.669706145,1.09E-06,0.158330391,0.405348759,0.000998169,0.993693313,0.995368282,0.869022399,2.16E-14,0.900534456,0.00190022,0.001161855,0.999998998,0.000731628,0.001736199,0.161375897,0.001292913,0.068198231,0.185423538,0.068198231,0.400677899,0.940182975,0.393835912,0.474551413,0.803108592,0.041093422,0.001436305,0.001001659,0.707278687,0.124047371,9.94E-22,0.142492255,0.062963133,0.034722889,0.865038246,0.083757738,0.084738831,0.47446924,0.03345758,5.70E-08,0.016145846,0,1.14E-21,2.40E-23,0.029097954,0.155431065,5.76E-21,3.61E-15,0.842363838,1.74E-22,1.18E-10,0.628295819,9.05E-08,4.61E-10,0.157072376,6.03E-26,0.068267999,0.267928096,0.198370792,0.026103288,0.182881065,0.135141821,0.167096874,0.193425825,0.986924807,0.019854397,0.030449467,0.15526781,5.30E-05,1.43E-16,0.342157627,6.95E-13,0,9.80E-13,0.04673136,1.20E-11,2.86E-09,0.161980326,0.179792126,2.99E-06,0.277639012,5.30E-05,0.255324149,5.30E-05,0.5,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.078091189,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.796811614,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11E-15,0.16834648,0.167982932,0.277430427,0.001181573,0.999887438,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64E-12,0.099912791,2.87E-10,0.377737848,0.004506168,0.133250251,0.034729928,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,1,5.30E-05,0.999979121,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.470227277
C1=CC(=CN=C1)C(=O)O,0.974029307,0.009486786,0.001765717,0.001005699,0.000649426,0.002140393,0.001393355,0.001305753,0.001451189,0.000604332,0.001939831,0.001050793,0.002303538,0.001276591,0.603410636,0.264869665,6.89E-07,0.20939317,0.019674268,2.51E-11,0.849469651,0.381257372,1.09E-06,0.158330391,0.370561675,0.001046362,0.993693313,0.995368282,0.869022399,2.16E-14,0.900534456,0.00190022,0.001281464,0.999998998,0.000731628,0.001736199,0.161375897,0.001217315,0.061131341,0.698901179,0.061131341,0.857353973,0.780787566,0.865258899,0.218035345,0.291996419,0.068503755,0.001103507,0.00104954,0.436076719,0.124047371,9.94E-22,0.142492255,0.062963133,0.034722889,0.865038246,0.083757738,0.084738831,0.47446924,0.03345758,5.70E-08,0.016145846,0,1.14E-21,2.40E-23,0.029097954,0.131426352,5.76E-21,3.61E-15,0.145980119,1.74E-22,0.898279735,0.324971072,0.634174011,4.61E-10,0.157072376,6.03E-26,0.068267999,0.267928096,0.198370792,0.026103288,0.326546709,0.135992629,0.167096874,0.193425825,8.79E-24,0.019854397,0.030449467,0.15526781,5.30E-05,1.43E-16,0.03731604,6.95E-13,0,9.80E-13,0.117392995,1.20E-11,2.86E-09,0.161980326,0.179792126,2.99E-06,0.277639012,5.30E-05,0.183281828,5.30E-05,0.5,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.088727921,5.71E-19,3.32E-10,9.64E-10,7.11E-15,1,0.796811614,0.165079548,0.167040631,0.999999894,0.999999893,0.5,0.069365881,7.11E-15,0.16834648,0.167982932,0.277430427,0.001181573,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.099912791,2.87E-10,0.377737848,0.004506168,0.133250251,0.034729928,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.999979121,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.505813489
C1=CN=C(C=N1)C(=O)N,0.974029307,0.00960586,0.001765717,0.001005699,0.000649426,0.002140393,0.001197825,0.001172322,0.001149705,0.000469257,0.001352874,0.000745749,0.001617787,0.000898977,0.600249375,0.264869665,6.89E-07,0.212848106,0.019674268,2.51E-11,0.850696288,5.86E-17,1.09E-06,0.317819256,0.405348759,0.001046923,0.984120982,0.987483978,0.732000805,2.16E-14,0.890041773,0.00190022,0.001281714,0.999998998,0.000673048,0.001553951,0.156695672,0.001185946,0.066074672,0.183003226,0.066074672,0.565125321,0.738200547,0.54458289,0.397296141,0.805600534,0.024879733,0.000985464,0.001049738,0.707278687,0.193672288,9.94E-22,0.142492255,0.062963133,0.034722889,0.865038246,0.083757738,0.168438018,0.47446924,0.098237397,5.70E-08,0.016145846,0,1.14E-21,2.40E-23,0.029097954,0.155431065,0.463384185,3.61E-15,0.145980119,0.977808184,1.18E-10,0.628295819,0.643477773,4.61E-10,0.157072376,6.03E-26,0.023724068,0.267928096,0.224568775,0.026103288,0.182881065,0.135141821,0.167096874,0.416325857,0.986924807,0.019854397,0.030449467,0.112508426,5.30E-05,1.43E-16,0.342157627,6.95E-13,0,9.80E-13,0.114363036,1.20E-11,2.86E-09,0.16468753,0.121617086,2.99E-06,0.277639012,5.30E-05,0.440758828,5.30E-05,0.5,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.08320786,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.901222735,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11E-15,0.16834648,0.167982932,0.522329168,0.001181573,0.999887438,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64E-12,0.099912791,2.87E-10,0.377737848,0.004506168,0.133250251,0.034729928,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,1,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.429804448
CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,0.798646291,0.591863632,0.119707213,0.196105216,0.154801149,0.193221737,0.293834477,0.224592992,0.387322346,0.282875181,0.580137309,0.460378861,0.71205335,0.60018368,4.07E-10,2.18E-08,6.89E-07,0.10021777,0.019674268,2.51E-11,0.978377583,0.523564909,1.09E-06,0.963682077,7.52E-13,0.095884815,0.020161072,0.095609075,0.373091175,0.167468634,0.660842267,0.173123908,0.095767004,0.999998998,0.050489349,0.026032032,0.180999296,0.160171311,0.010355414,0.022049399,0.010355414,0.00711599,0.997835246,0.005461158,0.914784644,0.975638248,0.908818477,0.292369355,0.093249183,0.061316334,0.033330413,0.999952139,0.142492255,0.5,0.998447515,4.83E-15,0.917645021,0.01897584,0.055286669,5.23E-05,5.70E-08,0.002152298,0,1.14E-21,2.40E-23,0.132319973,0.008721533,5.76E-21,3.61E-15,0.145980119,1.74E-22,1.18E-10,0.059983379,9.05E-08,4.61E-10,0.157072376,0.773842978,0.962753349,0.080760151,0.027500884,0.885181578,0.12445963,0.809406426,0.167096874,0.075581009,8.79E-24,0.409375066,0.030449467,0.723954803,5.30E-05,1.43E-16,0.03731604,6.95E-13,0,9.80E-13,0.000264281,0.585706189,0.947216808,0.300987471,0.665163947,2.99E-06,0.995674795,5.30E-05,0.006171383,5.30E-05,0.5,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.182741501,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,1.20E-20,0.165079548,0.167040631,0.166498334,0.166486816,0.202864661,0.069365881,7.11E-15,0.16834648,0.167982932,6.87E-10,0.001181573,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.099912791,0.999958569,0.377737848,0.004506168,0.133250251,0.998447725,1.61E-09,0.99963785,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.122237092
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,0.862877327,0.150727245,0.091969299,0.08157273,0.05900369,0.114057392,0.103174922,0.069111191,0.110206619,0.066466156,0.173391236,0.109534822,0.235586092,0.154237997,0.774040328,0.511302312,6.89E-07,0.218592553,0.019674268,0.29049677,9.26E-11,5.86E-17,0.754326716,0.338182268,7.52E-13,0.068378503,0.036935454,0.025613229,0.015243559,0.086140992,0.55453538,0.106301735,0.07358059,0.999998998,0.053944773,0.041305924,0.220032525,0.087643217,0.312820872,0.124597161,0.312820872,0.821180012,0.901208871,0.803855893,0.171200478,0.873545756,0.158866374,0.086707053,0.066435911,0.707278687,0.193672288,9.94E-22,0.918732282,0.5,0.635287782,4.83E-15,0.38583405,0.084738831,0.731660206,0.098237397,5.70E-08,0.052056904,0,0.980001175,0.880663973,0.109325795,0.139280564,5.76E-21,0.983892665,0.145980119,0.977808184,0.899613565,0.645903764,0.634174011,4.61E-10,0.157072376,0.870771071,0.062642371,0.080760151,0.027500884,0.396613874,0.313536806,0.243267862,0.167096874,0.448026329,8.79E-24,0.09656619,0.030449467,0.730578718,5.30E-05,1.43E-16,0.632232287,0.978907593,0,9.80E-13,0.058453041,0.49292806,2.86E-09,0.17808143,0.761650369,2.99E-06,0.277639012,5.30E-05,0.285905889,5.30E-05,0.5,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.3339903,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,1.20E-20,0.165079548,0.167040631,0.166498334,0.166486816,0.797135339,0.930634119,7.11E-15,0.16834648,0.167982932,6.87E-10,0.838411761,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,0.955197547,2.64E-12,0.099912791,2.87E-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.999999984,0.843417438
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,0.956860443,0.132767909,0.386674431,0.436638756,0.382238545,0.287292469,0.387430901,0.309532503,0.36829664,0.266077849,0.178761809,0.113336089,0.154625899,0.097105913,0.610115861,0.704474284,6.89E-07,0.802384679,0.77825776,0.170206184,0.668050435,0.667467788,0.602088219,0.338182268,0.349110783,0.291208794,0.852499993,0.787999402,0.603162413,0.808844339,0.792342813,0.309863159,0.257464758,0.999998998,0.580033943,0.740941876,0.793938872,0.313347253,0.186871785,0.818516449,0.186871785,0.260296136,0.460914964,0.248250622,0.327208955,0.170198108,0.254773597,0.339853278,0.285966638,0.842343704,0.5,9.94E-22,0.142492255,0.062963133,0.358206967,4.83E-15,0.083757738,0.492264867,0.855890346,0.346464367,5.70E-08,0.83334029,0,1.14E-21,2.40E-23,0.384836673,0.79800097,0.869873347,0.985031854,0.842363838,1.74E-22,1.18E-10,0.618010114,9.05E-08,4.61E-10,0.157072376,0.410076818,0.319413889,0.572660462,0.198370792,0.026103288,0.771572792,0.392282123,0.167096874,0.205072372,8.79E-24,0.833211145,0.59512761,0.109225009,5.30E-05,0.699547846,0.807817473,0.983837341,0.709806361,9.80E-13,0.608807432,0.245298863,2.86E-09,0.83878923,0.118415638,2.99E-06,0.277639012,5.30E-05,0.669000826,5.30E-05,0.5,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.631205228,5.71E-19,0.999247139,0.997862118,7.11E-15,5.84E-13,1.20E-20,0.165079548,0.167040631,0.166498334,0.166486816,0.797135339,0.930634119,7.11E-15,0.16834648,0.167982932,6.87E-10,0.838411761,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64E-12,0.879726585,2.87E-10,0.377737848,0.004506168,0.133250251,0.358229365,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,0.76084478,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.999999993,0.966151653,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.460566609
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,0.80450388,0.651111446,0.610745406,0.517784185,0.534380126,0.557544536,0.440233159,0.414899665,0.411356346,0.380221023,0.444247186,0.384200873,0.455756054,0.369262747,0.855338485,0.694809919,6.89E-07,0.437972794,0.883136345,2.51E-11,0.765708652,0.950509553,1.09E-06,2.39E-11,0.906839482,0.593244355,0.514107927,0.428224007,0.35425742,0.228752301,0.288828608,0.574166291,0.615691242,0.999998998,0.599079235,0.541876863,0.536071194,0.568825732,0.673552473,0.879824367,0.673552473,0.867242579,0.710990477,0.87582829,0.15392742,0.104439025,0.516571115,0.510407119,0.594193987,0.436076719,0.694831549,9.94E-22,0.142492255,0.062963133,0.635287782,0.865038246,0.617764784,0.679604425,0.47446924,0.620811562,5.70E-08,0.466310264,0,1.14E-21,2.40E-23,0.564695742,0.586008538,0.466400899,0.988100121,0.145980119,0.977808184,0.961114847,0.812646954,0.634174011,4.61E-10,0.157072376,0.247889618,0.803226029,0.50139267,0.711055671,0.396613874,0.894214688,0.91563407,0.167096874,0.179593882,8.79E-24,0.265739075,0.46749591,0.621208232,5.30E-05,0.699547846,0.276030989,6.95E-13,0.709806361,0.985489826,0.595587646,0.795009249,0.947216808,0.410208167,0.46658937,0.999490234,0.9857295,5.30E-05,0.731105933,5.30E-05,0.993605612,0.384710451,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.702946826,0.821609627,1,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.796811614,0.165079548,0.167040631,0.999999894,0.999999893,0.895953243,0.930634119,7.11E-15,0.16834648,0.167982932,0.277430427,0.001181573,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.099912791,2.87E-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61E-09,0.914027309,2.09E-07,7.11E-15,0.499264281,0.999974644,0.847532931,2.11E-16,1.17E-09,0.909514638,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.999224706,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.537081564
